District,Powierzchnia plantacji (ha),Przeciętny zbiór z ha,Ogólny zbiór
KOBRYŃSKI,0.0,0.0,0.0
KOSZYRSKI,0.0,0.0,0.0
ŁUNINIECKI,0.0,0.0,0.0
PIŃSKI,0.0,0.0,0.0
PRUŻAŃSKI,0.0,0.0,0.0
STOLIŃSKI,0.0,0.0,0.0
IWACEWICKI,0.0,0.0,0.0
BRODNICKI,20.348193246976482,2.1140979996858684,4069.6386493952964
CHEŁMIŃSKI,1714.2209370334022,237.1930650045469,412891.1892182634
CHOJNICKI,0.0,0.0,0.0
GRUDZIĄDZ (MIASTO),0.0,0.0,0.0
GRUDZIĄDZKI,1904.6518067530235,197.88590200031413,380930.3613506047
KARTUSKI,0.0,0.0,0.0
KOŚCIERSKI,0.0,0.0,0.0
LUBAWSKI,0.0,0.0,0.0
SĘPOLEŃSKI,0.0,0.0,0.0
STAROGARDZKI,0.0,0.0,0.0
ŚWIECKI,2057.524432772924,176.19143572746256,370354.3978991263
TCZEWSKI,2900.0,180.0,522000.0
TORUŃ (MIASTO),129.12249848743102,5.10769376928129,32280.62462185775
TORUŃSKI,6101.656564479166,247.6992412261718,1524828.186159879
TUCHOLSKI,44.47556722707624,3.808564272537452,8005.602100873723
WĄBRZESKI,0.0,0.0,0.0
MORSKI,0.0,0.0,0.0
GDYNIA (MIASTO),0.0,0.0,0.0
BYDGOSKI,0.0,0.0,0.0
BYDGOSZCZ (MIASTO),0.0,0.0,0.0
INOWROCŁAWSKI,12887.87185833835,221.00663887670228,2951322.655559482
INOWROCŁAW (MIASTO),466.12814166164964,7.9933611232977215,106743.34444051777
SZUBIŃSKI,0.0,0.0,0.0
WYRZYSKI,3100.0,200.0,620000.0
LIPNOWSKI,1170.9999999923868,169.99999999889474,199069.99999870575
NIESZAWSKI,3251.0,184.0,598184.0
RYPIŃSKI,1430.6636488714173,184.76112039983082,267534.10233895504
WŁOCŁAWSKI,5416.0,201.0,1088616.0
CHODZIESKI,0.0,0.0,0.0
CZARNKOWSKI,0.0,0.0,0.0
GNIEŹNIEŃSKI,3147.4116166472118,214.37478503476538,692430.5556623721
GOSTYŃSKI,4047.475160452243,250.39429378927073,1006386.7051104679
JAROCIŃSKI,3519.0,200.0,703800.0
KĘPIŃSKI,0.0,0.0,0.0
KOŚCIAŃSKI,4247.191889107754,184.1348793613609,840943.9940433353
KROTOSZYŃSKI,2500.0,220.0,550000.0
LESZCZYŃSKI,88.48575242314517,3.836255524366705,17520.178979782744
MIĘDZYCHODZKI,0.0,0.0,0.0
MOGILEŃSKI,3160.0,258.0,815280.0
NOWOTOMYSKI,5495.0,250.0,1373750.0
OBORNICKI,0.0,0.0,0.0
OSTROWSKI (OSTRÓW WIELKOPOLSKI),0.0,0.0,0.0
POZNAŃ (MIASTO),0.0,0.0,0.0
RAWICKI,3656.9495511360815,254.17634183465927,914237.3877840204
SZAMOTULSKI,2698.0,180.0,485640.0
ŚREDZKI,2951.0000001231238,200.00000000750217,590200.0000293035
ŚREMSKI,125.89764688077634,5.458229490342394,24927.734082393712
WĄGROWIECKI,2.5259257353411434e-07,1.3974054637473149e-08,5.397195259311496e-05
WOLSZTYŃSKI,0.0,0.0,0.0
WRZESIŃSKI,3905.9999998768762,237.99999999249783,929627.9999706965
ŻNIŃSKI,4383.999999843441,209.99999999259617,920639.99996717
POZNAŃSKI,0.0,0.0,0.0
GNIEZNO (MIASTO),82.58838325675414,5.625214958664369,18169.44431648591
KALISKI,1805.4262671074555,223.56479485051509,405879.45212625805
KOLSKI,0.0,0.0,0.0
KONIŃSKI,0.0,0.0,0.0
TURECKI,733.3777671523385,180.5360336263396,133545.5615109926
DOLIŃSKI,0.0,0.0,0.0
HORODEŃSKI,0.0,0.0,0.0
KAŁUSKI,0.0,0.0,0.0
KOŁOMYJSKI,0.0,0.0,0.0
KOSOWSKI (KOSÓW HUCULSKI),0.0,0.0,0.0
NADWÓRNIAŃSKI,0.0,0.0,0.0
ROHATYŃSKI,0.0,0.0,0.0
STANISŁAWOWSKI,0.0,0.0,0.0
STRYJSKI,0.0,0.0,0.0
ŚNIATYŃSKI,0.0,0.0,0.0
TŁUMACKI,0.0,0.0,0.0
ŻYDACZOWSKI,0.0,0.0,0.0
BIELSKI (BIELSKO),1600.0,180.0,288000.0
BIELSKO (MIASTO),0.0,0.0,0.0
CIESZYŃSKI,0.0,0.0,0.0
TARNOGÓRSKI,0.0,0.0,0.0
KATOWICE (MIASTO),0.0,0.0,0.0
KATOWICKI,0.0,0.0,0.0
LUBLINIECKI,0.0,0.0,0.0
PSZCZYŃSKI,0.0,0.0,0.0
RYBNICKI,0.0,0.0,0.0
ŚWIĘTOCHŁOWICKI,0.0,0.0,0.0
CHORZÓW,0.0,0.0,0.0
BORSZCZOWSKI,0.0,0.0,0.0
BRODZKI,0.0,0.0,0.0
BRZEŻAŃSKI,0.0,0.0,0.0
BUCZACKI,0.0,0.0,0.0
CZORTKOWSKI,0.0,0.0,0.0
KAMIONECKI,0.0,0.0,0.0
PODHAJECKI,0.0,0.0,0.0
PRZEMYŚLAŃSKI,0.0,0.0,0.0
RADZIECHOWSKI,0.0,0.0,0.0
SKAŁACKI,0.0,0.0,0.0
TARNOPOLSKI,0.0,0.0,0.0
TREMBOWELSKI,0.0,0.0,0.0
ZALESZCZYCKI,0.0,0.0,0.0
ZBARASKI,0.0,0.0,0.0
ZBOROWSKI,0.0,0.0,0.0
ZŁOCZOWSKI,0.0,0.0,0.0
KOPYCZYNIECKI,0.0,0.0,0.0
BŁOŃSKI,6492.0,140.0,908880.0
CIECHANOWSKI,5779.0,195.0,1126905.0
GOSTYNIŃSKI,1309.0,190.0,248710.0
GRÓJECKI,1457.0,180.0,262260.0
KUTNOWSKI,8450.0,176.0,1487200.0
ŁOWICKI,1134.9999999996776,147.99999999995796,167979.99999995227
MAKOWSKI (MAKÓW MAZOWIECKI),0.0,0.0,0.0
MIŃSKI,0.0,0.0,0.0
MŁAWSKI,0.0,0.0,0.0
PŁOCKI,2172.0,169.0,367068.0
PŁOŃSKI,0.0,0.0,0.0
PRZASNYCKI,0.0,0.0,0.0
PUŁTUSKI,0.0,0.0,0.0
RADZYMIŃSKI,0.0,0.0,0.0
RAWSKI (RAWA MAZOWIECKA),0.0,0.0,0.0
SIERPECKI,17.336351136195923,2.238879601274424,3241.897662339213
SKIERNIEWICKI,3.223528968405156e-10,4.203368170255181e-11,4.77082287323963e-08
SOCHACZEWSKI,0.0,0.0,0.0
WARSZAWSKI,0.0,0.0,0.0
DZIAŁDOWSKI,0.0,0.0,0.0
DUBIEŃSKI,2364.9999756481034,90.29850653290225,260149.9973212914
HOROCHOWSKI,4481.913276892949,118.83667492475682,528690.4604582244
KOWELSKI,0.0,0.0,0.0
KRZEMIENIECKI,0.0,0.0,0.0
LUBOMELSKI,0.0,0.0,0.0
ŁUCKI,197.45679419919384,7.539134801079944,21720.247361911323
RÓWIEŃSKI,0.06424647634594871,0.00245300673309766,7.067112398054358
WŁODZIMIERSKI,0.0,0.0,0.0
KOSTOPOLSKI,0.0,0.0,0.0
ZDOŁBUNOWSKI,296.5657067834077,11.323230734527888,32622.227746174845
SARNEŃSKI,0.0,0.0,0.0
OSZMIAŃSKI,0.0,0.0,0.0
ŚWIĘCIAŃSKI,0.0,0.0,0.0
WILNO (MIASTO),0.0,0.0,0.0
DZIŚNIEŃSKI,0.0,0.0,0.0
WILEJSKI,0.0,0.0,0.0
WILEŃSKO-TROCKI,0.0,0.0,0.0
POSTAWSKI,0.0,0.0,0.0
MOŁODECZAŃSKI,0.0,0.0,0.0
