Region;District;Pszenica;Żyto;Jęczmień;Owies;Ziemniaki;Buraki cukrowe;Gryka;Proso;Kukurydza;Mieszanki na ziarno: Jęczmień;Mieszanki na ziarno: Inne mieszanki zbóż;Groch;Fasola, bób, soczewica;Len: Nasienie;Len: Włókno;Konopie: Nasienie;Konopie: Włókno;Rzepak i rzepik;Chmiel;Tytoń
BIAŁOSTOCKIE;WOŁKOWYSKI; 38 189 ; 366 192 ; 77 466 ; 160 033 ; 1 951 466 ; -   ; 19 741 ; 73 ; 13 ; 1 172 ; 2 627 ; 10 114 ; 927 ; 4 341 ; 1 653 ; 535 ; 449 ; 434 ; -   ; 2 223 
BIAŁOSTOCKIE;WYSOKOMAZOWIECKI; 71 255 ; 250 980 ; 34 872 ; 75 556 ; 881 500 ; 8 428 ; 687 ; 128 ; 31 ; 5 443 ; 10 367 ; 13 627 ; 173 ; 3 209 ; 2 199 ; 341 ; 183 ; 284 ; -   ; -   
BIAŁOSTOCKIE;ŁOMŻYŃSKI; 115 642 ; 678 086 ; 55 811 ; 264 131 ; 2 729 911 ; 13 328 ; 18 672 ; 1 836 ; -   ; 3 473 ; 6 905 ; 35 233 ; 531 ; 3 233 ; 2 956 ; 243 ; 173 ; 2 011 ; -   ; -   
KIELECKIE;BĘDZIŃSKI; 5 482 ; 98 139 ; 15 262 ; 16 298 ; 798 663 ; -   ; 40 ; -   ; -   ; 660 ; 87 ; 90 ; 13 ; -   ; -   ; 7 ; 4 ; -   ; -   ; -   
KIELECKIE;CZĘSTOCHOWA (MIASTO);;;;;;;;;;;;;;;;;;;;
KIELECKIE;CZĘSTOCHOWSKI; 22 113 ; 584 995 ; 35 766 ; 115 455 ; 2 404 803 ; 7 752 ; 1 053 ; 2 585 ; 193 ; 2 464 ; 1 628 ; 1 465 ; 1 056 ; 491 ; 170 ; -   ; -   ; 634 ; 13 ; -   
KIELECKIE;IŁŻECKI; 31 091 ; 354 359 ; 157 679 ; 225 460 ; 1 892 399 ; 7 614 ; 12 473 ; 9 126 ; -   ; 3 339 ; 518 ; 3 364 ; 2 052 ; 950 ; 560 ; 433 ; 200 ; 1 954 ; 168 ; -   
KIELECKIE;JĘDRZEJOWSKI; 107 593 ; 333 679 ; 90 222 ; 128 771 ; 1 945 271 ; 2 830 ; 67 ; 4 460 ; 280 ; 2 518 ; 1 624 ; 4 019 ; 982 ; 190 ; 42 ; 30 ; 14 ; 757 ; -   ; -   
KIELECKIE;KIELECKI; 28 070 ; 280 889 ; 55 124 ; 72 266 ; 2 293 289 ; -   ; 1 808 ; 1 864 ; -   ; 809 ; 448 ; 981 ; 301 ; 1 178 ; 690 ; 124 ; 89 ; 50 ; -   ; -   
KIELECKIE;KONECKI; 15 563 ; 288 240 ; 32 541 ; 73 538 ; 2 412 616 ; -   ; 846 ; 3 876 ; 20 ; 85 ; 285 ; 1 093 ; 131 ; 679 ; 341 ; 46 ; 36 ; 149 ; -   ; -   
KIELECKIE;KOZIENICKI; 38 551 ; 452 182 ; 109 897 ; 169 500 ; 1 902 437 ; 22 470 ; 15 612 ; 11 061 ; 6 ; 1 533 ; 2 948 ; 1 728 ; 1 098 ; 1 575 ; 803 ; 303 ; 206 ; 1 011 ; 173 ; -   
KIELECKIE;MIECHOWSKI; 118 950 ; 314 364 ; 145 153 ; 202 937 ; 1 777 581 ; 123 044 ; 390 ; 9 241 ; 1 627 ; 1 809 ; 2 979 ; 3 775 ; 1 623 ; 257 ; 61 ; 85 ; 50 ; 1 782 ; -   ; 2 567 
KIELECKIE;OLKUSKI; 30 844 ; 260 209 ; 73 644 ; 119 455 ; 1 985 623 ; -   ; 1 110 ; 33 ; -   ; 1 898 ; 1 214 ; 835 ; 261 ; 147 ; 72 ; 78 ; 47 ; 395 ; -   ; -   
KIELECKIE;OPATOWSKI; 77 317 ; 311 857 ; 167 512 ; 300 491 ; 2 328 730 ; 254 258 ; 3 402 ; 8 180 ; -   ; 2 132 ; 2 903 ; 7 687 ; 797 ; 473 ; 247 ; 120 ; 88 ; 3 372 ; 102 ; -   
KIELECKIE;OPOCZYŃSKI; 21 776 ; 496 878 ; 46 225 ; 142 421 ; 2 191 673 ; -   ; 6 790 ; 8 706 ; 48 ; 762 ; 838 ; 2 693 ; 821 ; 1 785 ; 774 ; 140 ; 144 ; 968 ; 7 ; -   
KIELECKIE;PIŃCZOWSKI; 99 245 ; 263 433 ; 125 980 ; 126 203 ; 1 362 355 ; 219 195 ; 422 ; 30 000 ; 222 ; 4 262 ; 2 085 ; 2 641 ; 1 895 ; 49 ; 26 ; 84 ; 40 ; 2 028 ; -   ; -   
KIELECKIE;RADOM (MIASTO);;;;;;;;;;;;;;;;;;;;
KIELECKIE;RADOMSKI; 51 412 ; 706 510 ; 131 954 ; 212 043 ; 2 971 830 ; 617 ; 10 032 ; 11 945 ; 87 ; 2 126 ; 1 001 ; 7 683 ; 5 943 ; 2 561 ; 1 980 ; 168 ; 163 ; 4 216 ; 98 ; -   
KIELECKIE;SANDOMIERSKI; 61 176 ; 237 091 ; 132 499 ; 176 993 ; 1 690 595 ; 185 788 ; 436 ; 24 591 ; 115 ; 1 955 ; 1 369 ; 5 925 ; 2 013 ; 378 ; 152 ; 382 ; 244 ; 1 937 ; 82 ; -   
KIELECKIE;SOSNOWIEC;;;;;;;;;;;;;;;;;;;;
KIELECKIE;STOPNICKI; 71 950 ; 343 334 ; 103 848 ; 130 430 ; 2 351 327 ; 8 571 ; 916 ; 31 410 ; 224 ; 2 429 ; 3 600 ; 3 070 ; 2 254 ; 129 ; 52 ; 123 ; 61 ; 678 ; 18 ; -   
KIELECKIE;WŁOSZCZOWSKI; 72 652 ; 303 562 ; 44 210 ; 82 732 ; 1 686 684 ; -   ; 221 ; 1 734 ; 111 ; 3 308 ; 1 804 ; 1 648 ; 396 ; 859 ; 309 ; 65 ; 27 ; 502 ; 75 ; -   
KIELECKIE;ZAWIERCIAŃSKI; 13 342 ; 200 327 ; 24 498 ; 38 366 ; 1 327 348 ; -   ; 653 ; 51 ; 12 ; 1 519 ; 454 ; 1 056 ; 548 ; 91 ; 49 ; 19 ; 9 ; 37 ; -   ; -   
KRAKOWSKIE;BIALSKI (BIAŁA KRAKOWSKA); 12 409 ; 99 914 ; 7 791 ; 103 559 ; 736 991 ; 5 139 ; 21 ; -   ; 29 ; 3 356 ; 522 ; 27 ; 192 ; -   ; -   ; -   ; -   ; 52 ; -   ; -   
KRAKOWSKIE;BOCHEŃSKI; 51 288 ; 123 586 ; 38 081 ; 82 590 ; 629 715 ; -   ; -   ; 2 853 ; 647 ; 876 ; 148 ; 842 ; 891 ; 3 ; 2 ; 13 ; 10 ; 158 ; 50 ; -   
KRAKOWSKIE;BRZESKI (BRZESKO); 51 756 ; 169 221 ; 53 765 ; 100 725 ; 1 266 889 ; 2 466 ; 316 ; 7 050 ; 837 ; 926 ; 502 ; 1 450 ; 1 491 ; 25 ; 28 ; 45 ; 32 ; 59 ; -   ; -   
KRAKOWSKIE;CHRZANOWSKI; 9 490 ; 93 781 ; 9 115 ; 41 437 ; 634 723 ; -   ; 6 ; 495 ; 31 ; 335 ; 172 ; 320 ; 436 ; -   ; -   ; -   ; -   ; -   ; -   ; -   
KRAKOWSKIE;DĄBROWSKI; 35 910 ; 93 197 ; 29 946 ; 52 853 ; 505 965 ; 8 004 ; 93 ; 5 020 ; 4 175 ; 462 ; 1 203 ; 728 ; 1 308 ; 40 ; 23 ; 65 ; 69 ; 379 ; -   ; -   
KRAKOWSKIE;GORLICKI; 22 461 ; 73 356 ; 35 933 ; 95 155 ; 596 626 ; -   ; 9 ; 44 ; 26 ; 4 509 ; 700 ; 516 ; 1 374 ; 490 ; 662 ; 6 ; 9 ; 12 ; -   ; -   
KRAKOWSKIE;JASIELSKI; 29 215 ; 121 367 ; 47 025 ; 91 690 ; 822 266 ; 1 718 ; 367 ; 1 332 ; 233 ; 4 829 ; 824 ; 1 506 ; 5 370 ; 262 ; 159 ; 168 ; 115 ; 60 ; -   ; -   
KRAKOWSKIE;KRAKOWSKI; 41 163 ; 187 279 ; 32 004 ; 137 719 ; 1 129 811 ; 18 141 ; 181 ; 528 ; 74 ; 1 036 ; 1 683 ; 956 ; 556 ; 5 ; 3 ; -   ; -   ; 447 ; -   ; -   
KRAKOWSKIE;KRAKÓW (MIASTO);;;;;;;;;;;;;;;;;;;;
KRAKOWSKIE;LIMANOWSKI; 33 451 ; 53 732 ; 36 563 ; 104 840 ; 489 489 ; -   ; -   ; -   ; -   ; 2 191 ; 1 007 ; 624 ; 209 ; 308 ; 203 ; 111 ; 53 ; -   ; -   ; -   
KRAKOWSKIE;MIELECKI; 27 571 ; 106 472 ; 29 267 ; 68 321 ; 779 450 ; 626 ; 317 ; 2 697 ; 118 ; 2 507 ; 1 270 ; 653 ; 418 ; 70 ; 69 ; 30 ; 37 ; 124 ; -   ; -   
KRAKOWSKIE;MYŚLENICKI; 31 674 ; 92 218 ; 34 438 ; 134 220 ; 825 568 ; -   ; -   ; 140 ; 72 ; 1 330 ; 716 ; 1 042 ; 661 ; 218 ; 182 ; 2 ; 3 ; 24 ; -   ; -   
KRAKOWSKIE;NOWOSĄDECKI; 27 223 ; 77 532 ; 64 759 ; 123 126 ; 868 764 ; -   ; 28 ; 44 ; 81 ; 7 462 ; 393 ; 1 591 ; 1 650 ; 1 205 ; 885 ; 277 ; 313 ; 32 ; -   ; -   
KRAKOWSKIE;NOWOTARSKI; 922 ; 27 525 ; 56 137 ; 229 166 ; 802 743 ; -   ; 35 ; -   ; -   ; 3 530 ; 22 ; 1 406 ; 395 ; 1 226 ; 1 483 ; 49 ; 96 ; -   ; -   ; -   
KRAKOWSKIE;ROPCZYCKI; 50 666 ; 223 499 ; 66 834 ; 108 134 ; 1 310 195 ; 25 214 ; 293 ; 3 560 ; 76 ; 2 371 ; 688 ; 745 ; 1 140 ; 162 ; 105 ; 125 ; 146 ; 97 ; -   ; -   
KRAKOWSKIE;TARNOWSKI; 64 294 ; 197 013 ; 55 354 ; 124 181 ; 907 280 ; 6 264 ; 1 055 ; 2 064 ; 218 ; 2 222 ; 1 521 ; 1 594 ; 2 092 ; 66 ; 42 ; 67 ; 32 ; 50 ; 63 ; -   
KRAKOWSKIE;WADOWICKI; 32 683 ; 146 608 ; 14 684 ; 190 280 ; 1 131 006 ; 18 761 ; -   ; 34 ; 110 ; 3 233 ; 797 ; 673 ; 640 ; 39 ; 22 ; -   ; -   ; -   ; -   ; -   
KRAKOWSKIE;ŻYWIECKI; 6 987 ; 62 758 ; 24 581 ; 140 746 ; 655 619 ; -   ; -   ; -   ; -   ; 2 653 ; 264 ; 33 ; 78 ; 403 ; 156 ; -   ; -   ; 20 ; -   ; -   
LUBELSKIE;BIALSKI (BIAŁA PODLASKA); 47 415 ; 346 039 ; 33 100 ; 152 780 ; 2 949 592 ; 5 072 ; 8 110 ; 6 551 ; 19 ; 2 549 ; 1 858 ; 6 313 ; 1 425 ; 2 486 ; 1 630 ; 952 ; 662 ; 1 700 ; -   ; -   
LUBELSKIE;BIŁGORAJSKI; 14 839 ; 103 559 ; 34 111 ; 71 400 ; 852 161 ; -   ; 26 107 ; 6 807 ; 16 ; 409 ; 143 ; 884 ; 236 ; 2 310 ; 2 016 ; 2 660 ; 2 398 ; 8 ; -   ; -   
LUBELSKIE;CHEŁMSKI; 113 822 ; 279 306 ; 117 401 ; 107 666 ; 1 841 795 ; 115 952 ; 12 062 ; 5 961 ; 34 ; 8 513 ; 1 101 ; 4 207 ; 1 628 ; 1 661 ; 682 ; 1 287 ; 634 ; 2 579 ; 101 ; 267 
LUBELSKIE;GARWOLIŃSKI; 44 654 ; 363 972 ; 113 057 ; 147 588 ; 2 270 825 ; 238 ; 13 946 ; 11 628 ; 40 ; 3 066 ; 1 483 ; 3 543 ; 1 276 ; 2 559 ; 1 807 ; 329 ; 248 ; 1 442 ; 12 ; -   
LUBELSKIE;HRUBIESZOWSKI; 180 025 ; 201 772 ; 139 183 ; 146 749 ; 1 393 222 ; 273 281 ; 13 314 ; 11 241 ; 356 ; 3 160 ; 1 494 ; 4 277 ; 4 114 ; 1 607 ; 885 ; 1 149 ; 1 234 ; 4 086 ; 37 ; 1 419 
LUBELSKIE;JANOWSKI; 45 628 ; 229 332 ; 111 726 ; 187 179 ; 1 812 214 ; 46 609 ; 36 969 ; 16 291 ; 514 ; 39 000 ; 3 565 ; 2 039 ; 1 708 ; 2 600 ; 2 156 ; 1 431 ; 1 261 ; 1 843 ; 419 ; -   
LUBELSKIE;KRASNOSTAWSKI; 159 587 ; 230 137 ; 122 490 ; 143 507 ; 1 664 759 ; 219 835 ; 31 817 ; 8 769 ; 111 ; 18 062 ; 2 619 ; 2 097 ; 405 ; 1 049 ; 621 ; 873 ; 696 ; 1 731 ; 246 ; 2 157 
LUBELSKIE;LUBARTOWSKI; 27 388 ; 231 690 ; 35 126 ; 76 564 ; 1 572 024 ; 33 606 ; 44 497 ; 4 252 ; 78 ; 2 842 ; 677 ; 753 ; 333 ; 883 ; 670 ; 153 ; 117 ; 1 120 ; 290 ; 328 
LUBELSKIE;LUBELSKI; 194 626 ; 396 982 ; 183 030 ; 236 080 ; 2 501 513 ; 494 796 ; 29 238 ; 5 500 ; 478 ; 32 801 ; 1 532 ; 2 840 ; 1 644 ; 609 ; 504 ; 328 ; 253 ; 2 097 ; 380 ; 1 839 
LUBELSKIE;LUBLIN (MIASTO);;;;;;;;;;;;;;;;;;;;
LUBELSKIE;PUŁAWSKI; 57 159 ; 255 368 ; 129 123 ; 106 589 ; 2 015 141 ; 204 835 ; 28 911 ; 16 438 ; 54 ; 11 574 ; 1 252 ; 1 837 ; 644 ; 689 ; 501 ; 410 ; 401 ; 1 035 ; 1 182 ; 1 980 
LUBELSKIE;RADZYŃSKI; 58 320 ; 227 725 ; 18 718 ; 112 858 ; 1 807 616 ; 19 500 ; 18 047 ; 8 056 ; 126 ; 806 ; 751 ; 2 290 ; 581 ; 2 296 ; 1 102 ; 138 ; 107 ; 611 ; -   ; -   
LUBELSKIE;SIEDLECKI; 59 967 ; 436 035 ; 30 204 ; 157 427 ; 2 444 958 ; 2 500 ; 1 865 ; 1 652 ; 63 ; 1 353 ; 11 900 ; 6 275 ; 457 ; 4 536 ; 2 412 ; 34 ; 58 ; 640 ; -   ; -   
LUBELSKIE;SOKOŁOWSKI; 68 698 ; 232 273 ; 40 694 ; 90 267 ; 1 483 300 ; 51 823 ; 1 866 ; 1 921 ; 63 ; 7 434 ; 9 010 ; 6 015 ; 599 ; 2 741 ; 2 515 ; 15 ; 34 ; 329 ; -   ; -   
LUBELSKIE;TOMASZOWSKI; 122 305 ; 179 736 ; 121 732 ; 126 731 ; 1 023 670 ; 203 744 ; 14 443 ; 7 770 ; 265 ; 2 925 ; 3 723 ; 2 297 ; 1 848 ; 1 208 ; 1 132 ; 1 912 ; 1 636 ; 1 400 ; 95 ; 668 
LUBELSKIE;WĘGROWSKI; 46 970 ; 212 925 ; 35 216 ; 93 860 ; 1 360 264 ; 20 856 ; 5 115 ; 4 243 ; 10 ; 1 720 ; 1 339 ; 2 043 ; 200 ; 2 544 ; 2 089 ; 38 ; 37 ; 64 ; -   ; -   
LUBELSKIE;WŁODAWSKI; 42 124 ; 282 775 ; 32 226 ; 90 541 ; 1 700 681 ; 14 358 ; 35 224 ; 11 006 ; -   ; 271 ; 594 ; 5 384 ; 2 865 ; 2 654 ; 1 941 ; 931 ; 1 030 ; 2 048 ; 92 ; -   
LUBELSKIE;ZAMOJSKI; 105 092 ; 231 457 ; 128 407 ; 150 928 ; 1 145 860 ; 169 156 ; 10 752 ; 7 215 ; 169 ; 3 901 ; 1 522 ; 3 083 ; 1 511 ; 2 640 ; 911 ; 4 179 ; 2 053 ; 555 ; 137 ; 2 663 
LUBELSKIE;ŁUKOWSKI; 35 557 ; 414 849 ; 42 821 ; 188 909 ; 2 195 156 ; -   ; 26 048 ; 5 629 ; 32 ; 1 882 ; 627 ; 3 947 ; 715 ; 4 272 ; 3 217 ; 73 ; 56 ; 1 106 ; 112 ; -   
LWOWSKIE;BRZOZOWSKI; 22 342 ; 104 474 ; 38 057 ; 65 454 ; 685 710 ; 8 569 ; 105 ; 301 ; 12 ; 1 041 ; 354 ; 513 ; 718 ; 165 ; 160 ; 302 ; 296 ; 5 ; -   ; -   
LWOWSKIE;BÓBRECKI; 60 229 ; 73 031 ; 29 077 ; 57 946 ; 844 247 ; 186 221 ; 3 154 ; 5 639 ; 6 545 ; 866 ; 365 ; 3 255 ; 831 ; 964 ; 671 ; 1 009 ; 585 ; 119 ; 10 ; -   
LWOWSKIE;DOBROMILSKI; 16 937 ; 77 360 ; 18 897 ; 87 202 ; 491 777 ; 6 928 ; 134 ; 144 ; 262 ; 963 ; 838 ; 441 ; 955 ; 799 ; 999 ; 1 052 ; 1 008 ; 128 ; -   ; -   
LWOWSKIE;DROHOBYCKI; 23 663 ; 92 683 ; 21 926 ; 77 475 ; 942 756 ; -   ; 382 ; 4 585 ; 649 ; 338 ; 108 ; 525 ; 2 348 ; 3 047 ; 1 752 ; 800 ; 673 ; -   ; -   ; -   
LWOWSKIE;GRÓDECKI; 32 397 ; 100 605 ; 29 292 ; 86 706 ; 729 333 ; 10 715 ; 5 519 ; 4 811 ; 197 ; 2 294 ; 677 ; 882 ; 2 987 ; 2 578 ; 1 420 ; 1 090 ; 771 ; 93 ; -   ; -   
LWOWSKIE;JAROSŁAWSKI; 49 085 ; 128 678 ; 40 628 ; 78 848 ; 864 228 ; 226 990 ; 2 547 ; 4 279 ; 1 164 ; 930 ; 1 123 ; 687 ; 478 ; 940 ; 526 ; 1 197 ; 766 ; 859 ; -   ; -   
LWOWSKIE;JAWOROWSKI; 18 120 ; 117 457 ; 28 970 ; 69 289 ; 726 280 ; 535 ; 7 873 ; 6 647 ; 120 ; 529 ; 521 ; 412 ; 504 ; 2 343 ; 1 309 ; 1 488 ; 976 ; -   ; -   ; -   
LWOWSKIE;KOLBUSZOWSKI; 12 475 ; 94 536 ; 23 454 ; 37 187 ; 584 615 ; -   ; 2 969 ; 4 365 ; 5 ; 395 ; 407 ; 226 ; 353 ; 850 ; 744 ; 256 ; 434 ; -   ; -   ; -   
LWOWSKIE;KROŚNIEŃSKI; 26 391 ; 90 581 ; 36 312 ; 72 947 ; 801 796 ; 3 945 ; 248 ; 353 ; 27 ; 5 074 ; 719 ; 663 ; 1 856 ; 179 ; 193 ; 115 ; 137 ; 59 ; -   ; -   
LWOWSKIE;LESKI; 8 109 ; 45 132 ; 15 259 ; 127 435 ; 644 589 ; -   ; 19 ; 5 ; -   ; 137 ; 179 ; 543 ; 1 748 ; 2 116 ; 2 227 ; 1 017 ; 523 ; 14 ; -   ; -   
LWOWSKIE;LUBACZOWSKI; 30 710 ; 98 148 ; 30 155 ; 82 913 ; 975 069 ; -   ; 11 324 ; 6 362 ; 30 ; 641 ; 651 ; 1 289 ; 410 ; 1 961 ; 1 083 ; 1 898 ; 980 ; 284 ; 4 ; -   
LWOWSKIE;LWOWSKI; 71 478 ; 173 194 ; 42 894 ; 136 937 ; 1 279 355 ; 50 870 ; 10 389 ; 7 258 ; 2 511 ; 1 937 ; 1 984 ; 1 987 ; 1 643 ; 1 305 ; 839 ; 1 077 ; 653 ; 42 ; 75 ; -   
LWOWSKIE;LWÓW (MIASTO);;;;;;;;;;;;;;;;;;;;
LWOWSKIE;MOŚCISKI; 35 609 ; 97 747 ; 25 901 ; 50 294 ; 789 271 ; 5 128 ; 1 240 ; 6 092 ; 1 793 ; 754 ; 1 215 ; 434 ; 769 ; 2 019 ; 1 025 ; 1 387 ; 923 ; 256 ; 55 ; -   
LWOWSKIE;NIŻAŃSKI; 9 708 ; 65 214 ; 17 088 ; 29 741 ; 521 465 ; 3 176 ; 3 231 ; 5 617 ; 464 ; 490 ; 180 ; 248 ; 600 ; 984 ; 749 ; 736 ; 632 ; -   ; -   ; -   
LWOWSKIE;PRZEMYSKI; 58 946 ; 143 234 ; 37 350 ; 73 367 ; 1 113 090 ; 82 715 ; 196 ; 1 488 ; 1 302 ; 1 453 ; 1 104 ; 2 246 ; 1 948 ; 144 ; 89 ; 443 ; 355 ; 639 ; -   ; -   
LWOWSKIE;PRZEWORSKI; 42 185 ; 86 070 ; 15 895 ; 42 218 ; 451 211 ; 295 271 ; 327 ; 2 140 ; 372 ; 1 405 ; 1 087 ; 503 ; 235 ; 19 ; 12 ; 106 ; 56 ; 250 ; -   ; -   
LWOWSKIE;RAWSKI (RAWA RUSKA); 53 195 ; 106 955 ; 62 818 ; 72 112 ; 610 781 ; 21 746 ; 11 070 ; 7 943 ; 277 ; 1 391 ; 950 ; 2 152 ; 1 372 ; 845 ; 500 ; 1 253 ; 953 ; 541 ; -   ; -   
LWOWSKIE;RUDECKI; 35 617 ; 71 002 ; 31 242 ; 49 186 ; 839 640 ; 27 859 ; 2 647 ; 7 679 ; 5 517 ; 1 223 ; 968 ; 176 ; 2 913 ; 2 832 ; 1 550 ; 1 358 ; 828 ; 517 ; -   ; -   
LWOWSKIE;RZESZOWSKI; 55 639 ; 156 942 ; 54 986 ; 90 004 ; 936 188 ; 23 005 ; 459 ; 3 318 ; 206 ; 5 065 ; 1 258 ; 1 606 ; 2 112 ; 255 ; 234 ; 283 ; 342 ; 512 ; -   ; -   
LWOWSKIE;SAMBORSKI; 43 066 ; 147 378 ; 51 620 ; 76 955 ; 1 516 793 ; 5 031 ; 237 ; 5 640 ; 238 ; 1 682 ; 433 ; 843 ; 3 170 ; 1 391 ; 1 524 ; 806 ; 849 ; -   ; -   ; -   
LWOWSKIE;SANOCKI; 21 320 ; 94 475 ; 45 013 ; 87 977 ; 840 089 ; 12 147 ; 59 ; 140 ; 43 ; 3 158 ; 459 ; 1 835 ; 3 752 ; 975 ; 529 ; 641 ; 343 ; 50 ; -   ; -   
LWOWSKIE;SOKALSKI; 118 489 ; 125 897 ; 75 269 ; 89 508 ; 1 057 334 ; 66 447 ; 6 637 ; 9 473 ; 143 ; 3 076 ; 2 828 ; 6 269 ; 1 196 ; 1 788 ; 1 024 ; 2 349 ; 1 555 ; 156 ; -   ; -   
LWOWSKIE;TARNOBRZESKI; 14 961 ; 86 516 ; 36 551 ; 37 246 ; 604 721 ; 30 117 ; 944 ; 8 824 ; -   ; 893 ; 816 ; 784 ; 258 ; 689 ; 379 ; 247 ; 206 ; 8 ; -   ; -   
LWOWSKIE;TURCZAŃSKI; 1 943 ; 22 516 ; 4 080 ; 129 286 ; 511 271 ; -   ; 1 ; -   ; -   ; 233 ; 86 ; 139 ; 1 381 ; 2 476 ; 3 021 ; 449 ; 549 ; -   ; -   ; -   
LWOWSKIE;ŁAŃCUCKI; 31 888 ; 101 952 ; 25 573 ; 50 064 ; 742 397 ; 69 659 ; 6 096 ; 9 809 ; 87 ; 377 ; 1 145 ; 837 ; 454 ; 1 273 ; 1 040 ; 485 ; 410 ; -   ; 142 ; -   
LWOWSKIE;ŻÓŁKIEWSKI; 50 097 ; 91 025 ; 27 604 ; 49 188 ; 568 324 ; 1 929 ; 5 086 ; 5 815 ; 703 ; 873 ; 1 416 ; 1 485 ; 1 300 ; 1 315 ; 951 ; 1 165 ; 839 ; 24 ; 30 ; -   
M. ST. WARSZAWA;POŁUDNIOWO-WARSZAWSKI;;;;;;;;;;;;;;;;;;;;
M. ST. WARSZAWA;PRASKO-WARSZAWSKI;;;;;;;;;;;;;;;;;;;;
M. ST. WARSZAWA;PÓŁNOCNO-WARSZAWSKI;;;;;;;;;;;;;;;;;;;;
M. ST. WARSZAWA;ŚRÓDMIEJSKO-WARSZAWSKI;;;;;;;;;;;;;;;;;;;;
NOWOGRÓDZKIE;BARANOWICKI; 21 369 ; 305 993 ; 65 581 ; 92 410 ; 1 530 770 ; -   ; 34 428 ; 375 ; 7 ; 951 ; 2 309 ; 3 989 ; 1 017 ; 7 495 ; 2 865 ; 430 ; 219 ; 321 ; -   ; -   
NOWOGRÓDZKIE;LIDZKI; 14 697 ; 408 506 ; 133 930 ; 159 224 ; 1 478 143 ; -   ; 30 146 ; -   ; 26 ; 5 819 ; 3 150 ; 33 148 ; 1 748 ; 9 120 ; 5 223 ; 279 ; 274 ; -   ; -   ; -   
NOWOGRÓDZKIE;NIEŚWIESKI; 34 473 ; 205 218 ; 61 589 ; 110 852 ; 1 749 461 ; -   ; 19 380 ; 461 ; -   ; 98 ; 664 ; 4 121 ; 145 ; 6 251 ; 3 461 ; 81 ; 40 ; -   ; -   ; -   
